run_dir,model_name,branch,generation,metric,summary_value,recomputed_value,abs_diff,status,tolerance
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5:0.5b,dbr_medium,0.0,sample_count,50.0,50.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5:0.5b,dbr_medium,0.0,accuracy_mean,0.36,0.36,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5:0.5b,dbr_medium,0.0,pedagogical_score_mean,5.44,5.38,0.0600000000000005,mismatch,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5:0.5b,dbr_medium,0.0,silent_error_rate,0.3,0.28,0.019999999999999962,mismatch,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5:0.5b,dbr_medium,1.0,sample_count,50.0,50.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5:0.5b,dbr_medium,1.0,accuracy_mean,0.42,0.42,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5:0.5b,dbr_medium,1.0,pedagogical_score_mean,4.92,4.92,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5:0.5b,dbr_medium,1.0,silent_error_rate,0.16,0.16,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5:0.5b,dbr_medium,2.0,sample_count,50.0,50.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5:0.5b,dbr_medium,2.0,accuracy_mean,0.46,0.46,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5:0.5b,dbr_medium,2.0,pedagogical_score_mean,4.98,4.98,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5:0.5b,dbr_medium,2.0,silent_error_rate,0.28,0.28,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5:0.5b,pure_recycling,0.0,sample_count,50.0,50.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5:0.5b,pure_recycling,0.0,accuracy_mean,0.34,0.34,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5:0.5b,pure_recycling,0.0,pedagogical_score_mean,4.38,4.38,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5:0.5b,pure_recycling,0.0,silent_error_rate,0.32,0.32,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5:0.5b,pure_recycling,1.0,sample_count,50.0,50.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5:0.5b,pure_recycling,1.0,accuracy_mean,0.44,0.44,0.0,ok,1e-06
