run_dir,scope,model_dir,branch,generation,stage_name,status,expected_pending_terminal_stage
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed213_20260430_115105,context,qwen2.5_0.5b,soft_pvf_noisy_keep,0.0,anchoring,completed,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed213_20260430_115105,context,qwen2.5_0.5b,soft_pvf_noisy_keep,1.0,generation,completed,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed213_20260430_115105,context,qwen2.5_0.5b,soft_pvf_noisy_keep,1.0,answer_extraction,completed,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed213_20260430_115105,context,qwen2.5_0.5b,soft_pvf_noisy_keep,1.0,accuracy,completed,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed213_20260430_115105,context,qwen2.5_0.5b,soft_pvf_noisy_keep,1.0,judge,completed,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed213_20260430_115105,context,qwen2.5_0.5b,soft_pvf_noisy_keep,1.0,synthetic_build,completed,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed213_20260430_115105,context,qwen2.5_0.5b,soft_pvf_noisy_keep,1.0,anchoring,completed,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed213_20260430_115105,context,qwen2.5_0.5b,soft_pvf_noisy_keep,2.0,generation,completed,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed213_20260430_115105,context,qwen2.5_0.5b,soft_pvf_noisy_keep,2.0,answer_extraction,completed,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed213_20260430_115105,context,qwen2.5_0.5b,soft_pvf_noisy_keep,2.0,accuracy,completed,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed213_20260430_115105,context,qwen2.5_0.5b,soft_pvf_noisy_keep,2.0,judge,completed,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed213_20260430_115105,context,qwen2.5_0.5b,soft_pvf_noisy_keep,2.0,synthetic_build,completed,False
