run_dir,model_dir,branch,generation,model_outputs_rows,answer_extraction_rows,accuracy_rows,judge_rows,judge_failures_rows,eval_merged_rows,synthetic_base_rows,synthetic_train_next_rows,pvf_rejected_rows,soft_pvf_decisions_rows,pvr_decisions_rows,pvr_repair_pairs_rows,extraction_mismatch,accuracy_mismatch,judge_accounting_mismatch
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5_0.5b,dbr_medium,0,50,50,50,50,0,50,50,49,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5_0.5b,dbr_medium,1,50,50,50,50,0,50,50,49,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5_0.5b,dbr_medium,2,50,50,50,50,0,50,50,49,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5_0.5b,pure_recycling,0,50,50,50,50,0,50,50,50,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5_0.5b,pure_recycling,1,50,50,50,50,0,50,50,50,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5_0.5b,pure_recycling,2,50,50,50,50,0,50,50,50,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5_0.5b,soft_pvf_noisy_keep,0,50,50,50,50,0,50,50,22,,50.0,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5_0.5b,soft_pvf_noisy_keep,1,50,50,50,50,0,50,50,24,,50.0,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed211_20260428_222918,qwen2.5_0.5b,soft_pvf_noisy_keep,2,50,50,50,50,0,50,50,22,,50.0,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed212_20260428_230709,qwen2.5_0.5b,dbr_medium,0,50,50,50,50,0,50,50,49,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed212_20260428_230709,qwen2.5_0.5b,dbr_medium,1,50,50,50,50,0,50,50,49,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed212_20260428_230709,qwen2.5_0.5b,dbr_medium,2,50,50,50,50,0,50,50,49,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed212_20260428_230709,qwen2.5_0.5b,pure_recycling,0,50,50,50,50,0,50,50,50,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed212_20260428_230709,qwen2.5_0.5b,pure_recycling,1,50,50,50,50,0,50,50,50,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed212_20260428_230709,qwen2.5_0.5b,pure_recycling,2,50,50,50,48,2,48,50,50,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed212_20260428_230709,qwen2.5_0.5b,soft_pvf_noisy_keep,0,50,50,50,48,2,48,50,24,,50.0,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed212_20260428_230709,qwen2.5_0.5b,soft_pvf_noisy_keep,1,50,50,50,50,0,50,50,21,,50.0,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed212_20260428_230709,qwen2.5_0.5b,soft_pvf_noisy_keep,2,50,50,50,50,0,50,50,21,,50.0,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed213_20260430_115105,qwen2.5_0.5b,dbr_medium,0,50,50,50,50,0,50,50,49,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed213_20260430_115105,qwen2.5_0.5b,dbr_medium,1,50,50,50,50,0,50,50,48,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed213_20260430_115105,qwen2.5_0.5b,dbr_medium,2,50,50,50,50,0,50,50,48,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed213_20260430_115105,qwen2.5_0.5b,pure_recycling,0,50,50,50,50,0,50,50,50,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed213_20260430_115105,qwen2.5_0.5b,pure_recycling,1,50,50,50,50,0,50,50,50,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed213_20260430_115105,qwen2.5_0.5b,pure_recycling,2,50,50,50,50,0,50,50,50,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed213_20260430_115105,qwen2.5_0.5b,soft_pvf_noisy_keep,0,50,50,50,50,0,50,50,21,,50.0,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed213_20260430_115105,qwen2.5_0.5b,soft_pvf_noisy_keep,1,50,50,50,50,0,50,50,26,,50.0,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\dbr_confirmatory_seed213_20260430_115105,qwen2.5_0.5b,soft_pvf_noisy_keep,2,50,50,50,50,0,50,50,24,,50.0,,,False,False,False
