family,metric,mean_delta,std,n,ci_low,ci_high,positive_seed_count,negative_seed_count,interpretation
dbr_confirmatory_211_213,delta_accuracy,0.0625,0.1121104366238933,3,-0.0643649018969917,0.1893649018969917,2,1,favors_dbr
dbr_confirmatory_211_213,delta_pedagogy,0.14611111111111116,0.693502249722645,3,-0.6386605615884099,0.9308827838106323,1,2,favors_dbr
dbr_confirmatory_211_213,delta_silent,-0.06361111111111109,0.051209898493393885,3,-0.12156056652456645,-0.0056616556976557195,0,3,favors_dbr
dbr_only_221_223,delta_accuracy,0.033333333333333305,0.03214550253664316,3,-0.0030427271704894787,0.06970939383715609,3,0,favors_dbr
dbr_only_221_223,delta_pedagogy,0.01999999999999987,0.4648655719667785,3,-0.5060449156995376,0.5460449156995374,1,2,favors_dbr
dbr_only_221_223,delta_silent,0.02666666666666666,0.0472581562625261,3,-0.02681097144290003,0.08014430477623335,2,1,favors_pure
