reference_table,table_type,seed,generation,branch,metric,field_name,reference_value,recomputed_value,abs_diff,status
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_summary.csv,dbr_paper_summary_seed_compare,213,2,,silent_error_rate,delta_dbr_minus_pure,-0.12,-0.12,0.0,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_deltas_by_seed.csv,dbr_paper_deltas_by_seed,211,2,,delta_accuracy_dbr_minus_pure_gen2,value,-0.06,-0.06,0.0,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_deltas_by_seed.csv,dbr_paper_deltas_by_seed,211,2,,delta_pedagogy_dbr_minus_pure_gen2,value,-0.1599999999999992,-0.1599999999999992,5.551115123125783e-17,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_deltas_by_seed.csv,dbr_paper_deltas_by_seed,211,2,,delta_silent_dbr_minus_pure_gen2,value,-0.0199999999999999,-0.0199999999999999,6.245004513516506e-17,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_deltas_by_seed.csv,dbr_paper_deltas_by_seed,212,2,,delta_accuracy_dbr_minus_pure_gen2,value,0.0875,0.0875,2.775557561562892e-17,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_deltas_by_seed.csv,dbr_paper_deltas_by_seed,212,2,,delta_pedagogy_dbr_minus_pure_gen2,value,-0.3416666666666668,-0.3416666666666668,0.0,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_deltas_by_seed.csv,dbr_paper_deltas_by_seed,212,2,,delta_silent_dbr_minus_pure_gen2,value,-0.0508333333333333,-0.0508333333333333,1.3877787807814457e-17,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_deltas_by_seed.csv,dbr_paper_deltas_by_seed,213,2,,delta_accuracy_dbr_minus_pure_gen2,value,0.1599999999999999,0.1599999999999999,8.326672684688674e-17,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_deltas_by_seed.csv,dbr_paper_deltas_by_seed,213,2,,delta_pedagogy_dbr_minus_pure_gen2,value,0.9399999999999996,0.9399999999999996,1.1102230246251563e-16,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_deltas_by_seed.csv,dbr_paper_deltas_by_seed,213,2,,delta_silent_dbr_minus_pure_gen2,value,-0.12,-0.12,0.0,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_confirmatory_20260430_122057\tables\dbr_confirmatory_run_level.csv,dbr_confirmatory_run_level,213,2,dbr_medium,sample_count,value,50.0,50.0,0.0,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_confirmatory_20260430_122057\tables\dbr_confirmatory_run_level.csv,dbr_confirmatory_run_level,213,2,dbr_medium,accuracy_mean,value,0.58,0.58,0.0,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_confirmatory_20260430_122057\tables\dbr_confirmatory_run_level.csv,dbr_confirmatory_run_level,213,2,dbr_medium,pedagogical_score_mean,value,5.42,5.42,0.0,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_confirmatory_20260430_122057\tables\dbr_confirmatory_run_level.csv,dbr_confirmatory_run_level,213,2,dbr_medium,silent_error_rate,value,0.18,0.18,0.0,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_confirmatory_20260430_122057\tables\dbr_confirmatory_run_level.csv,dbr_confirmatory_run_level,213,2,pure_recycling,sample_count,value,50.0,50.0,0.0,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_confirmatory_20260430_122057\tables\dbr_confirmatory_run_level.csv,dbr_confirmatory_run_level,213,2,pure_recycling,accuracy_mean,value,0.42,0.42,0.0,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_confirmatory_20260430_122057\tables\dbr_confirmatory_run_level.csv,dbr_confirmatory_run_level,213,2,pure_recycling,pedagogical_score_mean,value,4.48,4.48,0.0,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_confirmatory_20260430_122057\tables\dbr_confirmatory_run_level.csv,dbr_confirmatory_run_level,213,2,pure_recycling,silent_error_rate,value,0.3,0.3,0.0,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_confirmatory_20260430_122057\tables\dbr_confirmatory_branch_deltas.csv,dbr_confirmatory_branch_deltas,213,2,dbr_medium,delta_accuracy_mean,value,0.1599999999999999,0.1599999999999999,8.326672684688674e-17,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_confirmatory_20260430_122057\tables\dbr_confirmatory_branch_deltas.csv,dbr_confirmatory_branch_deltas,213,2,dbr_medium,delta_pedagogical_score_mean,value,0.9399999999999996,0.9399999999999996,1.1102230246251563e-16,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_confirmatory_20260430_122057\tables\dbr_confirmatory_branch_deltas.csv,dbr_confirmatory_branch_deltas,213,2,dbr_medium,delta_silent_error_rate,value,-0.12,-0.12,0.0,ok
