experiment_family,seed,accuracy_mean_delta_gen0_to_gen1,accuracy_mean_delta_gen1_to_gen2,accuracy_mean_delta_gen0_to_gen2,pedagogical_score_mean_delta_gen0_to_gen1,pedagogical_score_mean_delta_gen1_to_gen2,pedagogical_score_mean_delta_gen0_to_gen2,silent_error_rate_delta_gen0_to_gen1,silent_error_rate_delta_gen1_to_gen2,silent_error_rate_delta_gen0_to_gen2,parse_failure_pred_rate_delta_gen0_to_gen1,parse_failure_pred_rate_delta_gen1_to_gen2,parse_failure_pred_rate_delta_gen0_to_gen2,defect_severity_mean_delta_gen0_to_gen1,defect_severity_mean_delta_gen1_to_gen2,defect_severity_mean_delta_gen0_to_gen2
dbr_confirmatory_211_213,211,0.09999999999999998,0.08000000000000002,0.18,0.4400000000000004,0.3199999999999994,0.7599999999999998,-0.12,0.09999999999999998,-0.020000000000000018,-0.019999999999999997,-0.02,-0.039999999999999994,-1.0000000000000004,0.020000000000000018,-0.9800000000000004
dbr_confirmatory_211_213,212,-0.020000000000000018,0.012500000000000011,-0.007500000000000007,-0.5200000000000005,0.7416666666666671,0.22166666666666668,0.09999999999999998,-0.08916666666666667,0.010833333333333306,0.0,0.0008333333333333318,0.0008333333333333318,0.7199999999999998,-0.6641666666666661,0.055833333333333623
dbr_confirmatory_211_213,213,-0.019999999999999962,-0.040000000000000036,-0.06,1.0600000000000005,-1.0,0.0600000000000005,-0.020000000000000018,0.06,0.03999999999999998,0.0,0.0,0.0,-0.3200000000000003,0.6400000000000001,0.31999999999999984
dbr_only_221_223,221,0.12,-0.08999999999999997,0.030000000000000027,0.7999999999999998,-1.17,-0.3700000000000001,-0.03,0.04000000000000001,0.010000000000000009,0.0,-0.02,-0.02,-0.7199999999999998,0.75,0.03000000000000025
dbr_only_221_223,222,-0.03999999999999998,-0.040000000000000036,-0.08000000000000002,-0.04999999999999982,0.25,0.20000000000000018,0.04999999999999999,-0.07999999999999999,-0.03,0.009999999999999998,0.0,0.009999999999999998,0.3900000000000001,-0.31000000000000005,0.08000000000000007
dbr_only_221_223,223,0.030000000000000027,0.020000000000000018,0.050000000000000044,0.39000000000000057,0.25,0.6400000000000006,-0.04000000000000001,-0.03,-0.07,0.03,-0.03,0.0,-0.2599999999999998,-0.3900000000000001,-0.6499999999999999
