seed,run_dir,pure_sample_count,dbr_sample_count,pure_accuracy_gen2,dbr_accuracy_gen2,pure_pedagogy_gen2,dbr_pedagogy_gen2,pure_silent_gen2,dbr_silent_gen2,delta_accuracy_dbr_minus_pure_gen2,delta_pedagogy_dbr_minus_pure_gen2,delta_silent_dbr_minus_pure_gen2,soft_sample_count,soft_accuracy_gen2,soft_pedagogy_gen2,soft_silent_gen2,delta_accuracy_dbr_minus_soft_gen2,delta_pedagogy_dbr_minus_soft_gen2,delta_silent_dbr_minus_soft_gen2,delta_accuracy_soft_minus_pure_gen2,delta_pedagogy_soft_minus_pure_gen2,delta_silent_soft_minus_pure_gen2,pure_count,dbr_count,matched_count,delta_accuracy_matched_dbr_minus_pure,delta_pedagogy_matched_dbr_minus_pure,delta_silent_matched_dbr_minus_pure
211,outputs\runs\dbr_confirmatory_seed211_20260428_222918,50,50,0.52,0.46,5.14,4.98,0.3,0.28,-0.06,-0.15999999999999925,-0.019999999999999962,50,0.42,4.64,0.28,0.040000000000000036,0.34000000000000075,0.0,-0.10000000000000003,-0.5,-0.019999999999999962,50,50,50,-0.06,-0.15999999999999925,-0.019999999999999962
212,outputs\runs\dbr_confirmatory_seed212_20260428_230709,48,50,0.3125,0.4,5.041666666666667,4.7,0.2708333333333333,0.22,0.08750000000000002,-0.3416666666666668,-0.050833333333333314,50,0.38,4.86,0.34,0.020000000000000018,-0.16000000000000014,-0.12000000000000002,0.0675,-0.18166666666666664,0.06916666666666671,48,50,48,0.08333333333333331,-0.3125,-0.04166666666666666
213,outputs\runs\dbr_confirmatory_seed213_20260430_115105,50,50,0.42,0.58,4.48,5.42,0.3,0.18,0.15999999999999998,0.9399999999999995,-0.12,50,0.48,5.02,0.28,0.09999999999999998,0.40000000000000036,-0.10000000000000003,0.06,0.5399999999999991,-0.019999999999999962,50,50,50,0.15999999999999998,0.9399999999999995,-0.12
