model_name,branch,generation,seed_count,target_size_mean,selected_count_mean,selection_rate_mean,selection_rate_std,selection_rate_ci_low,selection_rate_ci_high,min_selection_rate_mean,fallback_bucket_count_mean,relaxation_steps_any_json,budget_violations_any_json,evaluation_mode
qwen2.5:0.5b,dbr_medium,0,1,100.0,94.0,0.94,0.0,0.94,0.94,0.8,0.0,"[""relax_incorrect_answer"", ""relax_low_reasoning"", ""relax_low_structure"", ""relax_silent_error""]","[{""parse_failure"": {""allowed_rate"": 0.0, ""allowed_count"": 0, ""actual_count"": 0, ""violation_count"": 0}, ""incorrect_answer"": {""allowed_rate"": 0.3, ""allowed_count"": 30, ""actual_count"": 54, ""violation_count"": 24}, ""silent_error"": {""allowed_rate"": 0.1, ""allowed_count"": 10, ""actual_count"": 25, ""violation_count"": 15}, ""low_reasoning"": {""allowed_rate"": 0.25, ""allowed_count"": 25, ""actual_count"": 44, ""violation_count"": 19}, ""low_structure"": {""allowed_rate"": 0.3, ""allowed_count"": 30, ""actual_count"": 35, ""violation_count"": 5}}]",inference_recycling_only
qwen2.5:0.5b,dbr_medium,1,1,100.0,97.0,0.97,0.0,0.97,0.97,0.8,0.0,"[""relax_incorrect_answer"", ""relax_low_reasoning"", ""relax_silent_error""]","[{""parse_failure"": {""allowed_rate"": 0.0, ""allowed_count"": 0, ""actual_count"": 0, ""violation_count"": 0}, ""incorrect_answer"": {""allowed_rate"": 0.3, ""allowed_count"": 30, ""actual_count"": 54, ""violation_count"": 24}, ""silent_error"": {""allowed_rate"": 0.1, ""allowed_count"": 10, ""actual_count"": 21, ""violation_count"": 11}, ""low_reasoning"": {""allowed_rate"": 0.25, ""allowed_count"": 25, ""actual_count"": 44, ""violation_count"": 19}, ""low_structure"": {""allowed_rate"": 0.3, ""allowed_count"": 30, ""actual_count"": 30, ""violation_count"": 0}}]",inference_recycling_only
qwen2.5:0.5b,dbr_medium,2,1,100.0,94.0,0.94,0.0,0.94,0.94,0.8,0.0,"[""relax_incorrect_answer"", ""relax_low_reasoning"", ""relax_low_structure"", ""relax_silent_error""]","[{""parse_failure"": {""allowed_rate"": 0.0, ""allowed_count"": 0, ""actual_count"": 0, ""violation_count"": 0}, ""incorrect_answer"": {""allowed_rate"": 0.3, ""allowed_count"": 30, ""actual_count"": 46, ""violation_count"": 16}, ""silent_error"": {""allowed_rate"": 0.1, ""allowed_count"": 10, ""actual_count"": 25, ""violation_count"": 15}, ""low_reasoning"": {""allowed_rate"": 0.25, ""allowed_count"": 25, ""actual_count"": 40, ""violation_count"": 15}, ""low_structure"": {""allowed_rate"": 0.3, ""allowed_count"": 30, ""actual_count"": 30, ""violation_count"": 0}}]",inference_recycling_only
