model_name,branch,policy_name,generation,seed_count,keep_rate_mean,effective_keep_rate_mean,mean_assigned_weight_mean,kept_accuracy_mean,rejected_accuracy_mean,kept_pedagogical_mean,rejected_pedagogical_mean,kept_silent_error_rate,rejected_silent_error_rate,evaluation_mode
qwen2.5:0.5b,soft_pvf_medium,soft_pvf_medium,0,3,0.48,0.4536666666666667,0.4536666666666667,0.8781818181818183,0.025238095238095237,7.556363636363636,2.310952380952381,0.0,0.4747619047619048,inference_recycling_only
qwen2.5:0.5b,soft_pvf_medium,soft_pvf_medium,1,3,0.38000000000000006,0.3996666666666668,0.3996666666666668,0.9637254901960784,0.051515151515151514,7.526470588235294,2.608080808080808,0.0,0.4646464646464647,inference_recycling_only
qwen2.5:0.5b,soft_pvf_medium,soft_pvf_medium,2,3,0.44,0.4463333333333334,0.4463333333333334,0.9433333333333334,0.03409961685823754,7.626666666666668,2.253869731800766,0.0,0.42091954022988504,inference_recycling_only
qwen2.5:0.5b,soft_pvf_noisy_keep,soft_pvf_noisy_keep,0,3,0.4666666666666666,0.4366666666666667,0.4366666666666667,0.7977865612648222,0.0,7.401633728590251,1.7152910052910053,0.0,0.43723104056437395,inference_recycling_only
qwen2.5:0.5b,soft_pvf_noisy_keep,soft_pvf_noisy_keep,1,3,0.4266666666666667,0.4303333333333333,0.4303333333333333,0.8757575757575758,0.011904761904761904,7.671212121212122,2.299206349206349,0.0,0.523015873015873,inference_recycling_only
qwen2.5:0.5b,soft_pvf_noisy_keep,soft_pvf_noisy_keep,2,3,0.42,0.452,0.452,0.9333186941882593,0.023809523809523808,7.812765334504465,1.7272927689594357,0.0,0.42835097001763667,inference_recycling_only
