experiment_family,metric,transition,mean_delta,std,n,ci_low,ci_high,interpretation_flag
dbr_confirmatory_211_213,accuracy_mean,gen0_to_gen1,0.02,0.06928203230275508,3,-0.05839999999999998,0.09839999999999999,mixed
dbr_confirmatory_211_213,accuracy_mean,gen0_to_gen2,0.0375,0.12616952880945542,3,-0.10527426238646798,0.180274262386468,mixed
dbr_confirmatory_211_213,accuracy_mean,gen1_to_gen2,0.017499999999999998,0.06015604707757985,3,-0.050572975548304075,0.08557297554830408,mixed
dbr_confirmatory_211_213,defect_severity_mean,gen0_to_gen1,-0.20000000000000032,0.8662563131083086,3,-1.180261298498178,0.7802612984981774,mixed
dbr_confirmatory_211_213,defect_severity_mean,gen0_to_gen2,-0.20138888888888898,0.6871116748416548,3,-0.9789289453378904,0.5761511675601125,mixed
dbr_confirmatory_211_213,defect_severity_mean,gen1_to_gen2,-0.001388888888888662,0.652346370448274,3,-0.7395882999519339,0.7368105221741565,mixed
dbr_confirmatory_211_213,parse_failure_pred_rate,gen0_to_gen1,-0.006666666666666665,0.011547005383792514,3,-0.019733333333333332,0.006400000000000002,mixed
dbr_confirmatory_211_213,parse_failure_pred_rate,gen0_to_gen2,-0.013055555555555555,0.02333829312366107,3,-0.03946532039760489,0.013354209286493784,mixed
dbr_confirmatory_211_213,parse_failure_pred_rate,gen1_to_gen2,-0.006388888888888889,0.011794929858645636,3,-0.019736108509654043,0.006958330731876264,mixed
dbr_confirmatory_211_213,pedagogical_score_mean,gen0_to_gen1,0.3266666666666668,0.7960736984308263,3,-0.5741755269376176,1.2275088602709512,mixed
dbr_confirmatory_211_213,pedagogical_score_mean,gen0_to_gen2,0.3472222222222223,0.3665012253023827,3,-0.06751295670762808,0.7619574011520727,mixed
dbr_confirmatory_211_213,pedagogical_score_mean,gen1_to_gen2,0.02055555555555551,0.9086258448481014,3,-1.0076513816312214,1.0487624927423322,mixed
dbr_confirmatory_211_213,silent_error_rate,gen0_to_gen1,-0.013333333333333345,0.11015141094572202,3,-0.13798138898514756,0.11131472231848087,mixed
dbr_confirmatory_211_213,silent_error_rate,gen0_to_gen2,0.010277777777777755,0.03000385777665068,3,-0.02367478353581222,0.044230339091367726,mixed
dbr_confirmatory_211_213,silent_error_rate,gen1_to_gen2,0.0236111111111111,0.09969513714505021,3,-0.08920455685336805,0.13642677907559025,mixed
dbr_only_221_223,accuracy_mean,gen0_to_gen1,0.03666666666666668,0.08020806277010642,3,-0.05409730073107202,0.12743063406440538,mixed
dbr_only_221_223,accuracy_mean,gen0_to_gen2,1.850371707708594e-17,0.07000000000000002,3,-0.07921245693281667,0.0792124569328167,mixed
dbr_only_221_223,accuracy_mean,gen1_to_gen2,-0.03666666666666666,0.05507570547286102,3,-0.09899069449257378,0.025657361159240458,mixed
dbr_only_221_223,defect_severity_mean,gen0_to_gen1,-0.19666666666666646,0.55770362499569,3,-0.8277677291844783,0.4344343958511454,mixed
dbr_only_221_223,defect_severity_mean,gen0_to_gen2,-0.17999999999999985,0.40779897008207366,3,-0.6414679764981891,0.28146797649818944,mixed
dbr_only_221_223,defect_severity_mean,gen1_to_gen2,0.016666666666666607,0.6363437226321428,3,-0.7034240436685739,0.7367573770019071,mixed
dbr_only_221_223,parse_failure_pred_rate,gen0_to_gen1,0.01333333333333333,0.015275252316519466,3,-0.003952241898955327,0.030618908565621987,mixed
dbr_only_221_223,parse_failure_pred_rate,gen0_to_gen2,-0.003333333333333334,0.015275252316519466,3,-0.020618908565621992,0.013952241898955324,mixed
dbr_only_221_223,parse_failure_pred_rate,gen1_to_gen2,-0.016666666666666666,0.015275252316519466,3,-0.03395224189895532,0.0006189085656219916,mixed
dbr_only_221_223,pedagogical_score_mean,gen0_to_gen1,0.38000000000000017,0.4250882261366455,3,-0.10103261150709208,0.8610326115070924,mixed
dbr_only_221_223,pedagogical_score_mean,gen0_to_gen2,0.15666666666666687,0.5063924696649167,3,-0.41637035753954565,0.7297036908728793,mixed
dbr_only_221_223,pedagogical_score_mean,gen1_to_gen2,-0.2233333333333333,0.8198373822492685,3,-1.1510666666666667,0.7044,mixed
dbr_only_221_223,silent_error_rate,gen0_to_gen1,-0.006666666666666672,0.04932882862316247,3,-0.06248749113607454,0.04915415780274119,mixed
dbr_only_221_223,silent_error_rate,gen0_to_gen2,-0.03,0.04000000000000001,3,-0.07526426110446667,0.015264261104466673,mixed
dbr_only_221_223,silent_error_rate,gen1_to_gen2,-0.023333333333333327,0.06027713773341708,3,-0.09154333585821559,0.044876669191548924,mixed
