model_name,branch,generation,seed_count,target_size_mean,selected_count_mean,selection_rate_mean,selection_rate_std,selection_rate_ci_low,selection_rate_ci_high,min_selection_rate_mean,fallback_bucket_count_mean,relaxation_steps_any_json,budget_violations_any_json,evaluation_mode
qwen2.5:0.5b,dbr_medium,0,1,100.0,97.0,0.97,0.0,0.97,0.97,0.8,0.0,"[""relax_incorrect_answer"", ""relax_low_reasoning"", ""relax_low_structure"", ""relax_silent_error""]","[{""parse_failure"": {""allowed_rate"": 0.0, ""allowed_count"": 0, ""actual_count"": 0, ""violation_count"": 0}, ""incorrect_answer"": {""allowed_rate"": 0.3, ""allowed_count"": 30, ""actual_count"": 54, ""violation_count"": 24}, ""silent_error"": {""allowed_rate"": 0.1, ""allowed_count"": 10, ""actual_count"": 17, ""violation_count"": 7}, ""low_reasoning"": {""allowed_rate"": 0.25, ""allowed_count"": 25, ""actual_count"": 46, ""violation_count"": 21}, ""low_structure"": {""allowed_rate"": 0.3, ""allowed_count"": 30, ""actual_count"": 37, ""violation_count"": 7}}]",inference_recycling_only
qwen2.5:0.5b,dbr_medium,1,1,100.0,96.0,0.96,0.0,0.96,0.96,0.8,0.0,"[""relax_incorrect_answer"", ""relax_low_reasoning"", ""relax_low_structure"", ""relax_silent_error""]","[{""parse_failure"": {""allowed_rate"": 0.0, ""allowed_count"": 0, ""actual_count"": 0, ""violation_count"": 0}, ""incorrect_answer"": {""allowed_rate"": 0.3, ""allowed_count"": 30, ""actual_count"": 51, ""violation_count"": 21}, ""silent_error"": {""allowed_rate"": 0.1, ""allowed_count"": 10, ""actual_count"": 24, ""violation_count"": 14}, ""low_reasoning"": {""allowed_rate"": 0.25, ""allowed_count"": 25, ""actual_count"": 42, ""violation_count"": 17}, ""low_structure"": {""allowed_rate"": 0.3, ""allowed_count"": 30, ""actual_count"": 32, ""violation_count"": 2}}]",inference_recycling_only
qwen2.5:0.5b,dbr_medium,2,1,100.0,97.0,0.97,0.0,0.97,0.97,0.8,0.0,"[""relax_incorrect_answer"", ""relax_low_reasoning"", ""relax_low_structure"", ""relax_silent_error""]","[{""parse_failure"": {""allowed_rate"": 0.0, ""allowed_count"": 0, ""actual_count"": 0, ""violation_count"": 0}, ""incorrect_answer"": {""allowed_rate"": 0.3, ""allowed_count"": 30, ""actual_count"": 50, ""violation_count"": 20}, ""silent_error"": {""allowed_rate"": 0.1, ""allowed_count"": 10, ""actual_count"": 23, ""violation_count"": 13}, ""low_reasoning"": {""allowed_rate"": 0.25, ""allowed_count"": 25, ""actual_count"": 41, ""violation_count"": 16}, ""low_structure"": {""allowed_rate"": 0.3, ""allowed_count"": 30, ""actual_count"": 34, ""violation_count"": 4}}]",inference_recycling_only
