model_name,branch,generation,seed_count,run_count,evaluation_mode,accuracy_mean_mean,accuracy_mean_std,accuracy_mean_ci_low,accuracy_mean_ci_high,pedagogical_score_mean_mean,pedagogical_score_mean_std,pedagogical_score_mean_ci_low,pedagogical_score_mean_ci_high,silent_error_rate_mean,silent_error_rate_std,silent_error_rate_ci_low,silent_error_rate_ci_high,parse_failure_pred_rate_mean,parse_failure_pred_rate_std,parse_failure_pred_rate_ci_low,parse_failure_pred_rate_ci_high
qwen2.5:0.5b,dbr_medium,0,3,3,inference_recycling_only,0.39333333333333337,0.040414518843273815,0.3499999999999999,0.43,4.776666666666666,0.08962886439832492,4.72,4.88,0.24333333333333332,0.05507570547286104,0.18000000000000002,0.28,0.04,0.017320508075688773,0.03,0.06
qwen2.5:0.5b,dbr_medium,1,3,3,inference_recycling_only,0.41333333333333333,0.047258156262526094,0.36000000000000004,0.45,5.03,0.25059928172283336,4.77,5.27,0.22999999999999998,0.026457513110645915,0.21,0.26,0.02666666666666667,0.015275252316519468,0.01,0.04
qwen2.5:0.5b,dbr_medium,2,3,3,inference_recycling_only,0.43999999999999995,0.060827625302982184,0.36999999999999994,0.48,4.843333333333334,0.30859898466024355,4.49,5.06,0.25666666666666665,0.01527525231651948,0.24,0.27,0.03666666666666667,0.020816659994661327,0.02,0.06
qwen2.5:0.5b,pure_recycling,0,3,3,inference_recycling_only,0.4066666666666667,0.035118845842842465,0.36999999999999994,0.44,4.666666666666667,0.15502687938978005,4.51,4.82,0.26,0.0,0.26,0.26,0.016666666666666666,0.005773502691896258,0.01,0.02
qwen2.5:0.5b,pure_recycling,1,3,3,inference_recycling_only,0.44333333333333336,0.04509249752822893,0.4000000000000001,0.49,5.046666666666667,0.5158811232574161,4.62,5.62,0.25333333333333335,0.04932882862316247,0.22,0.31,0.03,0.01,0.02,0.04
qwen2.5:0.5b,pure_recycling,2,3,3,inference_recycling_only,0.4066666666666667,0.05033222956847168,0.36000000000000004,0.46,4.823333333333333,0.3523256069793017,4.45,5.15,0.22999999999999998,0.04000000000000001,0.19000000000000003,0.27,0.013333333333333334,0.015275252316519466,0.0,0.03
