model_name,branch,generation,seed_count,target_size_mean,selected_count_mean,selection_rate_mean,selection_rate_std,selection_rate_ci_low,selection_rate_ci_high,min_selection_rate_mean,fallback_bucket_count_mean,relaxation_steps_any_json,budget_violations_any_json,evaluation_mode
qwen2.5:0.5b,dbr_medium,0,1,50.0,49.0,0.98,0.0,0.98,0.98,0.8,0.0,"[""relax_incorrect_answer"", ""relax_low_reasoning"", ""relax_silent_error""]","[{""parse_failure"": {""allowed_rate"": 0.0, ""allowed_count"": 0, ""actual_count"": 0, ""violation_count"": 0}, ""incorrect_answer"": {""allowed_rate"": 0.3, ""allowed_count"": 15, ""actual_count"": 25, ""violation_count"": 10}, ""silent_error"": {""allowed_rate"": 0.1, ""allowed_count"": 5, ""actual_count"": 11, ""violation_count"": 6}, ""low_reasoning"": {""allowed_rate"": 0.25, ""allowed_count"": 12, ""actual_count"": 19, ""violation_count"": 7}, ""low_structure"": {""allowed_rate"": 0.3, ""allowed_count"": 15, ""actual_count"": 13, ""violation_count"": 0}}]",inference_recycling_only
qwen2.5:0.5b,dbr_medium,1,1,50.0,48.0,0.96,0.0,0.96,0.96,0.8,0.0,"[""relax_incorrect_answer"", ""relax_low_reasoning"", ""relax_silent_error""]","[{""parse_failure"": {""allowed_rate"": 0.0, ""allowed_count"": 0, ""actual_count"": 0, ""violation_count"": 0}, ""incorrect_answer"": {""allowed_rate"": 0.3, ""allowed_count"": 15, ""actual_count"": 24, ""violation_count"": 9}, ""silent_error"": {""allowed_rate"": 0.1, ""allowed_count"": 5, ""actual_count"": 12, ""violation_count"": 7}, ""low_reasoning"": {""allowed_rate"": 0.25, ""allowed_count"": 12, ""actual_count"": 22, ""violation_count"": 10}, ""low_structure"": {""allowed_rate"": 0.3, ""allowed_count"": 15, ""actual_count"": 13, ""violation_count"": 0}}]",inference_recycling_only
qwen2.5:0.5b,dbr_medium,2,1,50.0,48.0,0.96,0.0,0.96,0.96,0.8,0.0,"[""relax_incorrect_answer"", ""relax_low_reasoning"", ""relax_silent_error""]","[{""parse_failure"": {""allowed_rate"": 0.0, ""allowed_count"": 0, ""actual_count"": 0, ""violation_count"": 0}, ""incorrect_answer"": {""allowed_rate"": 0.3, ""allowed_count"": 15, ""actual_count"": 19, ""violation_count"": 4}, ""silent_error"": {""allowed_rate"": 0.1, ""allowed_count"": 5, ""actual_count"": 9, ""violation_count"": 4}, ""low_reasoning"": {""allowed_rate"": 0.25, ""allowed_count"": 12, ""actual_count"": 18, ""violation_count"": 6}, ""low_structure"": {""allowed_rate"": 0.3, ""allowed_count"": 15, ""actual_count"": 13, ""violation_count"": 0}}]",inference_recycling_only
