run_dir,model_name,branch,generation,metric,summary_value,recomputed_value,abs_diff,status,tolerance
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,qwen2.5:0.5b,pure_recycling,1.0,silent_error_rate,0.31,0.31,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,qwen2.5:0.5b,pure_recycling,2.0,sample_count,100.0,100.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,qwen2.5:0.5b,pure_recycling,2.0,accuracy_mean,0.4,0.4,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,qwen2.5:0.5b,pure_recycling,2.0,pedagogical_score_mean,5.33,5.33,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,qwen2.5:0.5b,pure_recycling,2.0,silent_error_rate,0.32,0.32,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,anchor_10_replace,0.0,sample_count,100.0,100.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,anchor_10_replace,0.0,accuracy_mean,0.44,0.44,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,anchor_10_replace,0.0,pedagogical_score_mean,4.55,4.55,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,anchor_10_replace,0.0,silent_error_rate,0.36,0.36,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,anchor_10_replace,1.0,sample_count,100.0,100.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,anchor_10_replace,1.0,accuracy_mean,0.43,0.43,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,anchor_10_replace,1.0,pedagogical_score_mean,4.73,4.73,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,anchor_10_replace,1.0,silent_error_rate,0.26,0.26,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,anchor_10_replace,2.0,sample_count,100.0,100.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,anchor_10_replace,2.0,accuracy_mean,0.42,0.42,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,anchor_10_replace,2.0,pedagogical_score_mean,4.63,4.63,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,anchor_10_replace,2.0,silent_error_rate,0.34,0.34,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,anchor_20_append,0.0,sample_count,100.0,100.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,anchor_20_append,0.0,accuracy_mean,0.42,0.42,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,anchor_20_append,0.0,pedagogical_score_mean,4.87,4.87,0.0,ok,1e-06
