branch,generation,seeds,sample_count_mean,accuracy_mean,accuracy_std,pedagogical_mean,pedagogical_std,silent_mean,silent_std
dbr_medium,0,2,50.0,0.33999999999999997,0.028284271247461867,5.08,0.4242640687119283,0.28,0.0
dbr_medium,1,2,50.0,0.42,0.0,4.92,0.0,0.24,0.11313708498984762
dbr_medium,2,2,50.0,0.43000000000000005,0.04242640687119287,4.84,0.19798989873223316,0.25,0.04242640687119286
pure_recycling,0,2,50.0,0.33,0.014142135623730963,4.6,0.31112698372208153,0.29000000000000004,0.04242640687119287
pure_recycling,1,2,50.0,0.37,0.09899494936611666,4.5600000000000005,0.36769552621700535,0.28,0.11313708498984756
pure_recycling,2,2,49.0,0.41625,0.1467246570962086,5.090833333333333,0.06953216681667673,0.28541666666666665,0.02062394778460764
