model_name,branch,generation,seed_count,run_count,evaluation_mode,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,pedagogical_score_mean,pedagogical_score_std,pedagogical_ci_low,pedagogical_ci_high,silent_error_rate,silent_error_std,silent_error_ci_low,silent_error_ci_high,parse_failure_pred_rate,parse_failure_pred_rate_std,parse_failure_pred_rate_ci_low,parse_failure_pred_rate_ci_high,selection_rate_mean,selection_rate_std,selection_rate_ci_low,selection_rate_ci_high,target_size_mean,selected_count_mean,min_selection_rate_mean,fallback_bucket_count_mean,relaxation_steps_any_json,budget_violations_any_json
qwen2.5:0.5b,dbr_medium,0,1,1,inference_recycling_only,0.35,0.0,0.35,0.35,4.73,0.0,4.73,4.73,0.27,0.0,0.27,0.27,0.03,0.0,0.03,0.03,0.97,0.0,0.97,0.97,100.0,97.0,0.8,0.0,"[""relax_incorrect_answer"", ""relax_low_reasoning"", ""relax_low_structure"", ""relax_silent_error""]","[{""parse_failure"": {""allowed_rate"": 0.0, ""allowed_count"": 0, ""actual_count"": 0, ""violation_count"": 0}, ""incorrect_answer"": {""allowed_rate"": 0.3, ""allowed_count"": 30, ""actual_count"": 62, ""violation_count"": 32}, ""silent_error"": {""allowed_rate"": 0.1, ""allowed_count"": 10, ""actual_count"": 24, ""violation_count"": 14}, ""low_reasoning"": {""allowed_rate"": 0.25, ""allowed_count"": 25, ""actual_count"": 47, ""violation_count"": 22}, ""low_structure"": {""allowed_rate"": 0.3, ""allowed_count"": 30, ""actual_count"": 34, ""violation_count"": 4}}]"
qwen2.5:0.5b,dbr_medium,1,1,1,inference_recycling_only,0.36,0.0,0.36,0.36,4.77,0.0,4.77,4.77,0.22,0.0,0.22,0.22,0.01,0.0,0.01,0.01,0.99,0.0,0.99,0.99,100.0,99.0,0.8,0.0,"[""relax_incorrect_answer"", ""relax_low_reasoning"", ""relax_low_structure"", ""relax_silent_error""]","[{""parse_failure"": {""allowed_rate"": 0.0, ""allowed_count"": 0, ""actual_count"": 0, ""violation_count"": 0}, ""incorrect_answer"": {""allowed_rate"": 0.3, ""allowed_count"": 30, ""actual_count"": 63, ""violation_count"": 33}, ""silent_error"": {""allowed_rate"": 0.1, ""allowed_count"": 10, ""actual_count"": 21, ""violation_count"": 11}, ""low_reasoning"": {""allowed_rate"": 0.25, ""allowed_count"": 25, ""actual_count"": 47, ""violation_count"": 22}, ""low_structure"": {""allowed_rate"": 0.3, ""allowed_count"": 30, ""actual_count"": 37, ""violation_count"": 7}}]"
qwen2.5:0.5b,dbr_medium,2,1,1,inference_recycling_only,0.37,0.0,0.37,0.37,4.49,0.0,4.49,4.49,0.24,0.0,0.24,0.24,0.02,0.0,0.02,0.02,0.98,0.0,0.98,0.98,100.0,98.0,0.8,0.0,"[""relax_incorrect_answer"", ""relax_low_reasoning"", ""relax_low_structure"", ""relax_silent_error""]","[{""parse_failure"": {""allowed_rate"": 0.0, ""allowed_count"": 0, ""actual_count"": 0, ""violation_count"": 0}, ""incorrect_answer"": {""allowed_rate"": 0.3, ""allowed_count"": 30, ""actual_count"": 61, ""violation_count"": 31}, ""silent_error"": {""allowed_rate"": 0.1, ""allowed_count"": 10, ""actual_count"": 24, ""violation_count"": 14}, ""low_reasoning"": {""allowed_rate"": 0.25, ""allowed_count"": 25, ""actual_count"": 54, ""violation_count"": 29}, ""low_structure"": {""allowed_rate"": 0.3, ""allowed_count"": 30, ""actual_count"": 40, ""violation_count"": 10}}]"
qwen2.5:0.5b,pure_recycling,0,1,1,inference_recycling_only,0.44,0.0,0.44,0.44,4.67,0.0,4.67,4.67,0.26,0.0,0.26,0.26,0.02,0.0,0.02,0.02,,,,,,,,,,
qwen2.5:0.5b,pure_recycling,1,1,1,inference_recycling_only,0.4,0.0,0.4,0.4,4.62,0.0,4.62,4.62,0.31,0.0,0.31,0.31,0.03,0.0,0.03,0.03,,,,,,,,,,
qwen2.5:0.5b,pure_recycling,2,1,1,inference_recycling_only,0.36,0.0,0.36,0.36,4.87,0.0,4.87,4.87,0.23,0.0,0.23,0.23,0.03,0.0,0.03,0.03,,,,,,,,,,
