evaluation_mode,branch,generation,seed_count,run_count,accuracy_mean_mean,accuracy_mean_std,accuracy_mean_ci_low,accuracy_mean_ci_high,pedagogical_score_mean_mean,pedagogical_score_mean_std,pedagogical_score_mean_ci_low,pedagogical_score_mean_ci_high,silent_error_rate_mean,silent_error_rate_std,silent_error_rate_ci_low,silent_error_rate_ci_high,parse_failure_pred_rate_mean,parse_failure_pred_rate_std,parse_failure_pred_rate_ci_low,parse_failure_pred_rate_ci_high
inference_recycling_only,anchor_20_append,0,2,2,0.45,0.014142135623730963,0.44,0.46,5.29,0.12727922061357835,5.2,5.38,0.17,0.042426406871192854,0.14,0.2,0.04,0.0,0.04,0.04
inference_recycling_only,anchor_20_append,1,2,2,0.46,0.08485281374238571,0.4,0.52,5.390000000000001,0.014142135623731277,5.38,5.4,0.25,0.014142135623730963,0.24,0.26,0.04,0.0,0.04,0.04
inference_recycling_only,pure_recycling,0,2,2,0.44000000000000006,0.14142135623730953,0.34,0.54,5.3,0.39597979746446693,5.02,5.58,0.27,0.014142135623730963,0.26,0.28,0.03,0.01414213562373095,0.02,0.04
inference_recycling_only,pure_recycling,1,2,2,0.52,0.11313708498984758,0.44,0.6,5.53,0.5232590180780453,5.16,5.9,0.22,0.028284271247461888,0.2,0.24,0.04,0.0,0.04,0.04
training_recycling_feasibility,anchor_20_append,0,2,2,0.48,0.028284271247461888,0.46,0.5,5.45,0.4101219330881976,5.16,5.74,0.22999999999999998,0.014142135623730944,0.22,0.24,0.04,0.0,0.04,0.04
training_recycling_feasibility,anchor_20_append,1,2,2,0.49,0.07071067811865477,0.44,0.54,5.05,0.0707106781186545,5.0,5.1,0.23,0.042426406871192854,0.2,0.26,0.07,0.042426406871192854,0.04,0.1
training_recycling_feasibility,pure_recycling,0,2,2,0.49,0.014142135623730963,0.48,0.5,5.1899999999999995,0.2404163056034267,5.02,5.36,0.24,0.0,0.24,0.24,0.0,0.0,0.0,0.0
training_recycling_feasibility,pure_recycling,1,2,2,0.44999999999999996,0.042426406871192854,0.42,0.48,4.93,0.07071067811865513,4.88,4.98,0.19,0.042426406871192854,0.16,0.22,0.06,0.0282842712474619,0.04,0.08
