model_name,branch,generation,seed_count,run_count,sample_count_mean,sample_count_std,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,pedagogical_score_mean,pedagogical_score_std,pedagogical_ci_low,pedagogical_ci_high,silent_error_rate_mean,silent_error_rate_std,silent_error_ci_low,silent_error_ci_high,evaluation_mode,keep_rate_mean,keep_rate_std,keep_rate_ci_low,keep_rate_ci_high,kept_count_mean,rejected_count_mean,total_candidates_mean
qwen2.5:0.5b,anchor_20_append,0,3,3,50.0,0.0,0.4000000000000001,0.01999999999999999,0.38000000000000006,0.42,5.1000000000000005,0.2884441020371189,4.78,5.34,0.21999999999999997,0.07211102550927978,0.16,0.3,inference_recycling_only,,,,,,,
qwen2.5:0.5b,anchor_20_append,1,3,3,50.0,0.0,0.44,0.0721110255092798,0.36000000000000004,0.5,4.94,0.3903844259188628,4.56,5.34,0.26666666666666666,0.0832666399786453,0.20000000000000004,0.36000000000000004,inference_recycling_only,,,,,,,
qwen2.5:0.5b,anchor_20_append,2,3,3,50.0,0.0,0.4533333333333333,0.04163331998932266,0.42,0.5,4.713333333333334,0.6293912402737534,4.34,5.44,0.26,0.06,0.20000000000000004,0.32,inference_recycling_only,,,,,,,
qwen2.5:0.5b,pure_recycling,0,3,3,50.0,0.0,0.4533333333333333,0.061101009266077866,0.4000000000000001,0.52,5.16,0.6954135460285482,4.7,5.96,0.2866666666666667,0.07023769168568492,0.22,0.36000000000000004,inference_recycling_only,,,,,,,
qwen2.5:0.5b,pure_recycling,1,3,3,50.0,0.0,0.39999999999999997,0.04000000000000001,0.36000000000000004,0.44,4.8,1.073498952025571,3.58,5.599999999999999,0.24666666666666667,0.057735026918962595,0.18000000000000002,0.28,inference_recycling_only,,,,,,,
qwen2.5:0.5b,pure_recycling,2,3,3,49.0,1.7320508075688772,0.4977304964539007,0.04906058805945359,0.46,0.5531914893617021,4.9787234042553195,0.38178276621587787,4.62,5.38,0.26765957446808514,0.10427789594886328,0.18000000000000002,0.3829787234042554,inference_recycling_only,,,,,,,
qwen2.5:0.5b,pvf_medium,0,3,3,50.0,0.0,0.43333333333333335,0.02309401076758505,0.42,0.46,5.16,0.2600000000000001,5.0,5.46,0.26666666666666666,0.09451631252505217,0.16,0.34,inference_recycling_only,0.42,0.0,0.42,0.42,21.0,29.0,50.0
qwen2.5:0.5b,pvf_medium,1,3,3,50.0,0.0,0.4466666666666666,0.03055050463303893,0.42,0.48,4.666666666666667,0.1814754345175493,4.46,4.8,0.22666666666666668,0.05033222956847168,0.18000000000000002,0.28,inference_recycling_only,0.4466666666666666,0.03055050463303893,0.42,0.48,22.333333333333332,27.666666666666668,50.0
qwen2.5:0.5b,pvf_medium,2,3,3,50.0,0.0,0.47333333333333333,0.057735026918962595,0.44,0.54,4.6866666666666665,0.3002221399786057,4.38,4.98,0.26666666666666666,0.011547005383792526,0.26,0.28,inference_recycling_only,0.4266666666666667,0.023094010767585018,0.4000000000000001,0.44,21.333333333333332,28.666666666666668,50.0
